Id_Passageiro,Sobrevivente,Tipo_Bilhete,Nome,Sexo,Idade,Qtd_Irmaos_Conjuges,Qtd_Pais_filhos,Num_Bilhete,Tarifa_Passageiro,Num_Cabine,Porto_de_Embarque
46,Não,3ª Classe,"Rogers, Mr. William John",Masculino,28,0,0,S.C./A.4. 23567,8.05,,Southampton
47,Não,3ª Classe,"Lennon, Mr. Denis",Masculino,28,1,0,370371,15.5,,Queenstown
48,Sim,3ª Classe,"O'Driscoll, Miss. Bridget",Feminino,28,0,0,14311,7.75,,Queenstown
49,Não,3ª Classe,"Samaan, Mr. Youssef",Masculino,28,2,0,2662,21.6792,,Cherbourg
50,Não,3ª Classe,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Feminino,18,1,0,349237,17.8,,Southampton
51,Não,3ª Classe,"Panula, Master. Juha Niilo",Masculino,7,4,1,3101295,39.6875,,Southampton
52,Não,3ª Classe,"Nosworthy, Mr. Richard Cater",Masculino,21,0,0,A/4. 39886,7.8,,Southampton
53,Sim,1ª Classe,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Feminino,49,1,0,PC 17572,76.7292,D33,Cherbourg
54,Sim,2ª Classe,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Feminino,29,1,0,2926,26.0,,Southampton
55,Não,1ª Classe,"Ostby, Mr. Engelhart Cornelius",Masculino,65,0,1,113509,61.9792,B30,Cherbourg
56,Sim,1ª Classe,"Woolner, Mr. Hugh",Masculino,28,0,0,19947,35.5,C52,Southampton
57,Sim,2ª Classe,"Rugg, Miss. Emily",Feminino,21,0,0,C.A. 31026,10.5,,Southampton
58,Não,3ª Classe,"Novel, Mr. Mansouer",Masculino,28,0,0,2697,7.2292,,Cherbourg
59,Sim,2ª Classe,"West, Miss. Constance Mirium",Feminino,5,1,2,C.A. 34651,27.75,,Southampton
60,Não,3ª Classe,"Goodwin, Master. William Frederick",Masculino,11,5,2,CA 2144,46.9,,Southampton
61,Não,3ª Classe,"Sirayanian, Mr. Orsen",Masculino,22,0,0,2669,7.2292,,Cherbourg
62,Sim,1ª Classe,"Icard, Miss. Amelie",Feminino,38,0,0,113572,80.0,B28,
63,Não,1ª Classe,"Harris, Mr. Henry Birkhardt",Masculino,45,1,0,36973,83.475,C83,Southampton
64,Não,3ª Classe,"Skoog, Master. Harald",Masculino,4,3,2,347088,27.9,,Southampton
65,Não,1ª Classe,"Stewart, Mr. Albert A",Masculino,28,0,0,PC 17605,27.7208,,Cherbourg
66,Sim,3ª Classe,"Moubarek, Master. Gerios",Masculino,28,1,1,2661,15.2458,,Cherbourg
67,Sim,2ª Classe,"Nye, Mrs. (Elizabeth Ramell)",Feminino,29,0,0,C.A. 29395,10.5,F33,Southampton
68,Não,3ª Classe,"Crease, Mr. Ernest James",Masculino,19,0,0,S.P. 3464,8.1583,,Southampton
69,Sim,3ª Classe,"Andersson, Miss. Erna Alexandra",Feminino,17,4,2,3101281,7.925,,Southampton
70,Não,3ª Classe,"Kink, Mr. Vincenz",Masculino,26,2,0,315151,8.6625,,Southampton
71,Não,2ª Classe,"Jenkin, Mr. Stephen Curnow",Masculino,32,0,0,C.A. 33111,10.5,,Southampton
72,Não,3ª Classe,"Goodwin, Miss. Lillian Amy",Feminino,16,5,2,CA 2144,46.9,,Southampton
73,Não,2ª Classe,"Hood, Mr. Ambrose Jr",Masculino,21,0,0,S.O.C. 14879,73.5,,Southampton
74,Não,3ª Classe,"Chronopoulos, Mr. Apostolos",Masculino,26,1,0,2680,14.4542,,Cherbourg
75,Sim,3ª Classe,"Bing, Mr. Lee",Masculino,32,0,0,1601,56.4958,,Southampton
76,Não,3ª Classe,"Moen, Mr. Sigurd Hansen",Masculino,25,0,0,348123,7.65,F G73,Southampton
77,Não,3ª Classe,"Staneff, Mr. Ivan",Masculino,28,0,0,349208,7.8958,,Southampton
78,Não,3ª Classe,"Moutal, Mr. Rahamin Haim",Masculino,28,0,0,374746,8.05,,Southampton
79,Sim,2ª Classe,"Caldwell, Master. Alden Gates",Masculino,0,0,2,248738,29.0,,Southampton
80,Sim,3ª Classe,"Dowdell, Miss. Elizabeth",Feminino,30,0,0,364516,12.475,,Southampton
81,Não,3ª Classe,"Waelens, Mr. Achille",Masculino,22,0,0,345767,9.0,,Southampton
82,Sim,3ª Classe,"Sheerlinck, Mr. Jan Baptist",Masculino,29,0,0,345779,9.5,,Southampton
83,Sim,3ª Classe,"McDermott, Miss. Brigdet Delia",Feminino,28,0,0,330932,7.7875,,Queenstown
84,Não,1ª Classe,"Carrau, Mr. Francisco M",Masculino,28,0,0,113059,47.1,,Southampton
85,Sim,2ª Classe,"Ilett, Miss. Bertha",Feminino,17,0,0,SO/C 14885,10.5,,Southampton
86,Sim,3ª Classe,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Feminino,33,3,0,3101278,15.85,,Southampton
87,Não,3ª Classe,"Ford, Mr. William Neal",Masculino,16,1,3,W./C. 6608,34.375,,Southampton
88,Não,3ª Classe,"Slocovski, Mr. Selman Francis",Masculino,28,0,0,SOTON/OQ 392086,8.05,,Southampton
89,Sim,1ª Classe,"Fortune, Miss. Mabel Helen",Feminino,23,3,2,19950,263.0,C23 C25 C27,Southampton
90,Não,3ª Classe,"Celotti, Mr. Francesco",Masculino,24,0,0,343275,8.05,,Southampton
91,Não,3ª Classe,"Christmann, Mr. Emil",Masculino,29,0,0,343276,8.05,,Southampton
92,Não,3ª Classe,"Andreasson, Mr. Paul Edvin",Masculino,20,0,0,347466,7.8542,,Southampton
93,Não,1ª Classe,"Chaffee, Mr. Herbert Fuller",Masculino,46,1,0,W.E.P. 5734,61.175,E31,Southampton
94,Não,3ª Classe,"Dean, Mr. Bertram Frank",Masculino,26,1,2,C.A. 2315,20.575,,Southampton
95,Não,3ª Classe,"Coxon, Mr. Daniel",Masculino,59,0,0,364500,7.25,,Southampton
96,Não,3ª Classe,"Shorney, Mr. Charles Joseph",Masculino,28,0,0,374910,8.05,,Southampton
97,Não,1ª Classe,"Goldschmidt, Mr. George B",Masculino,71,0,0,PC 17754,34.6542,A5,Cherbourg
98,Sim,1ª Classe,"Greenfield, Mr. William Bertram",Masculino,23,0,1,PC 17759,63.3583,D10 D12,Cherbourg
99,Sim,2ª Classe,"Doling, Mrs. John T (Ada Julia Bone)",Feminino,34,0,1,231919,23.0,,Southampton
100,Não,2ª Classe,"Kantor, Mr. Sinai",Masculino,34,1,0,244367,26.0,,Southampton
101,Não,3ª Classe,"Petranec, Miss. Matilda",Feminino,28,0,0,349245,7.8958,,Southampton
102,Não,3ª Classe,"Petroff, Mr. Pastcho (""Pentcho"")",Masculino,28,0,0,349215,7.8958,,Southampton
103,Não,1ª Classe,"White, Mr. Richard Frasar",Masculino,21,0,1,35281,77.2875,D26,Southampton
104,Não,3ª Classe,"Johansson, Mr. Gustaf Joel",Masculino,33,0,0,7540,8.6542,,Southampton
105,Não,3ª Classe,"Gustafsson, Mr. Anders Vilhelm",Masculino,37,2,0,3101276,7.925,,Southampton
106,Não,3ª Classe,"Mionoff, Mr. Stoytcho",Masculino,28,0,0,349207,7.8958,,Southampton
107,Sim,3ª Classe,"Salkjelsvik, Miss. Anna Kristine",Feminino,21,0,0,343120,7.65,,Southampton
108,Sim,3ª Classe,"Moss, Mr. Albert Johan",Masculino,28,0,0,312991,7.775,,Southampton
109,Não,3ª Classe,"Rekic, Mr. Tido",Masculino,38,0,0,349249,7.8958,,Southampton
110,Sim,3ª Classe,"Moran, Miss. Bertha",Feminino,28,1,0,371110,24.15,,Queenstown
111,Não,1ª Classe,"Porter, Mr. Walter Chamberlain",Masculino,47,0,0,110465,52.0,C110,Southampton
112,Não,3ª Classe,"Zabour, Miss. Hileni",Feminino,14,1,0,2665,14.4542,,Cherbourg
113,Não,3ª Classe,"Barton, Mr. David John",Masculino,22,0,0,324669,8.05,,Southampton
114,Não,3ª Classe,"Jussila, Miss. Katriina",Feminino,20,1,0,4136,9.825,,Southampton
115,Não,3ª Classe,"Attalah, Miss. Malake",Feminino,17,0,0,2627,14.4583,,Cherbourg
116,Não,3ª Classe,"Pekoniemi, Mr. Edvard",Masculino,21,0,0,STON/O 2. 3101294,7.925,,Southampton
117,Não,3ª Classe,"Connors, Mr. Patrick",Masculino,70,0,0,370369,7.75,,Queenstown
118,Não,2ª Classe,"Turpin, Mr. William John Robert",Masculino,29,1,0,11668,21.0,,Southampton
119,Não,1ª Classe,"Baxter, Mr. Quigg Edmond",Masculino,24,0,1,PC 17558,247.5208,B58 B60,Cherbourg
120,Não,3ª Classe,"Andersson, Miss. Ellis Anna Maria",Feminino,2,4,2,347082,31.275,,Southampton
121,Não,2ª Classe,"Hickman, Mr. Stanley George",Masculino,21,2,0,S.O.C. 14879,73.5,,Southampton
122,Não,3ª Classe,"Moore, Mr. Leonard Charles",Masculino,28,0,0,A4. 54510,8.05,,Southampton
123,Não,2ª Classe,"Nasser, Mr. Nicholas",Masculino,32,1,0,237736,30.0708,,Cherbourg
124,Sim,2ª Classe,"Webber, Miss. Susan",Feminino,32,0,0,27267,13.0,E101,Southampton
125,Não,1ª Classe,"White, Mr. Percival Wayland",Masculino,54,0,1,35281,77.2875,D26,Southampton
126,Sim,3ª Classe,"Nicola-Yarred, Master. Elias",Masculino,12,1,0,2651,11.2417,,Cherbourg
127,Não,3ª Classe,"McMahon, Mr. Martin",Masculino,28,0,0,370372,7.75,,Queenstown
128,Sim,3ª Classe,"Madsen, Mr. Fridtjof Arne",Masculino,24,0,0,C 17369,7.1417,,Southampton
129,Sim,3ª Classe,"Peter, Miss. Anna",Feminino,28,1,1,2668,22.3583,F E69,Cherbourg
130,Não,3ª Classe,"Ekstrom, Mr. Johan",Masculino,45,0,0,347061,6.975,,Southampton
131,Não,3ª Classe,"Drazenoic, Mr. Jozef",Masculino,33,0,0,349241,7.8958,,Cherbourg
132,Não,3ª Classe,"Coelho, Mr. Domingos Fernandeo",Masculino,20,0,0,SOTON/O.Q. 3101307,7.05,,Southampton
133,Não,3ª Classe,"Robins, Mrs. Alexander A (Grace Charity Laury)",Feminino,47,1,0,A/5. 3337,14.5,,Southampton
134,Sim,2ª Classe,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Feminino,29,1,0,228414,26.0,,Southampton
135,Não,2ª Classe,"Sobey, Mr. Samuel James Hayden",Masculino,25,0,0,C.A. 29178,13.0,,Southampton
136,Não,2ª Classe,"Richard, Mr. Emile",Masculino,23,0,0,SC/PARIS 2133,15.0458,,Cherbourg
137,Sim,1ª Classe,"Newsom, Miss. Helen Monypeny",Feminino,19,0,2,11752,26.2833,D47,Southampton
138,Não,1ª Classe,"Futrelle, Mr. Jacques Heath",Masculino,37,1,0,113803,53.1,C123,Southampton
139,Não,3ª Classe,"Osen, Mr. Olaf Elon",Masculino,16,0,0,7534,9.2167,,Southampton
140,Não,1ª Classe,"Giglio, Mr. Victor",Masculino,24,0,0,PC 17593,79.2,B86,Cherbourg
141,Não,3ª Classe,"Boulos, Mrs. Joseph (Sultana)",Feminino,28,0,2,2678,15.2458,,Cherbourg
142,Sim,3ª Classe,"Nysten, Miss. Anna Sofia",Feminino,22,0,0,347081,7.75,,Southampton
143,Sim,3ª Classe,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Feminino,24,1,0,STON/O2. 3101279,15.85,,Southampton
144,Não,3ª Classe,"Burke, Mr. Jeremiah",Masculino,19,0,0,365222,6.75,,Queenstown
145,Não,2ª Classe,"Andrew, Mr. Edgardo Samuel",Masculino,18,0,0,231945,11.5,,Southampton
146,Não,2ª Classe,"Nicholls, Mr. Joseph Charles",Masculino,19,1,1,C.A. 33112,36.75,,Southampton
147,Sim,3ª Classe,"Andersson, Mr. August Edvard (""Wennerstrom"")",Masculino,27,0,0,350043,7.7958,,Southampton
148,Não,3ª Classe,"Ford, Miss. Robina Maggie ""Ruby""",Feminino,9,2,2,W./C. 6608,34.375,,Southampton
149,Não,2ª Classe,"Navratil, Mr. Michel (""Louis M Hoffman"")",Masculino,36,0,2,230080,26.0,F2,Southampton
150,Não,2ª Classe,"Byles, Rev. Thomas Roussel Davids",Masculino,42,0,0,244310,13.0,,Southampton
151,Não,2ª Classe,"Bateman, Rev. Robert James",Masculino,51,0,0,S.O.P. 1166,12.525,,Southampton
152,Sim,1ª Classe,"Pears, Mrs. Thomas (Edith Wearne)",Feminino,22,1,0,113776,66.6,C2,Southampton
153,Não,3ª Classe,"Meo, Mr. Alfonzo",Masculino,55,0,0,A.5. 11206,8.05,,Southampton
154,Não,3ª Classe,"van Billiard, Mr. Austin Blyler",Masculino,40,0,2,A/5. 851,14.5,,Southampton
155,Não,3ª Classe,"Olsen, Mr. Ole Martin",Masculino,28,0,0,Fa 265302,7.3125,,Southampton
156,Não,1ª Classe,"Williams, Mr. Charles Duane",Masculino,51,0,1,PC 17597,61.3792,,Cherbourg
157,Sim,3ª Classe,"Gilnagh, Miss. Katherine ""Katie""",Feminino,16,0,0,35851,7.7333,,Queenstown
158,Não,3ª Classe,"Corn, Mr. Harry",Masculino,30,0,0,SOTON/OQ 392090,8.05,,Southampton
159,Não,3ª Classe,"Smiljanic, Mr. Mile",Masculino,28,0,0,315037,8.6625,,Southampton
160,Não,3ª Classe,"Sage, Master. Thomas Henry",Masculino,28,8,2,CA. 2343,69.55,,Southampton
161,Não,3ª Classe,"Cribb, Mr. John Hatfield",Masculino,44,0,1,371362,16.1,,Southampton
162,Sim,2ª Classe,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Feminino,40,0,0,C.A. 33595,15.75,,Southampton
163,Não,3ª Classe,"Bengtsson, Mr. John Viktor",Masculino,26,0,0,347068,7.775,,Southampton
164,Não,3ª Classe,"Calic, Mr. Jovo",Masculino,17,0,0,315093,8.6625,,Southampton
165,Não,3ª Classe,"Panula, Master. Eino Viljami",Masculino,1,4,1,3101295,39.6875,,Southampton
166,Sim,3ª Classe,"Goldsmith, Master. Frank John William ""Frankie""",Masculino,9,0,2,363291,20.525,,Southampton
167,Sim,1ª Classe,"Chibnall, Mrs. (Edith Martha Bowerman)",Feminino,28,0,1,113505,55.0,E33,Southampton
168,Não,3ª Classe,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Feminino,45,1,4,347088,27.9,,Southampton
169,Não,1ª Classe,"Baumann, Mr. John D",Masculino,28,0,0,PC 17318,25.925,,Southampton
170,Não,3ª Classe,"Ling, Mr. Lee",Masculino,28,0,0,1601,56.4958,,Southampton
171,Não,1ª Classe,"Van der hoef, Mr. Wyckoff",Masculino,61,0,0,111240,33.5,B19,Southampton
172,Não,3ª Classe,"Rice, Master. Arthur",Masculino,4,4,1,382652,29.125,,Queenstown
173,Sim,3ª Classe,"Johnson, Miss. Eleanor Ileen",Feminino,1,1,1,347742,11.1333,,Southampton
174,Não,3ª Classe,"Sivola, Mr. Antti Wilhelm",Masculino,21,0,0,STON/O 2. 3101280,7.925,,Southampton
175,Não,1ª Classe,"Smith, Mr. James Clinch",Masculino,56,0,0,17764,30.6958,A7,Cherbourg
176,Não,3ª Classe,"Klasen, Mr. Klas Albin",Masculino,18,1,1,350404,7.8542,,Southampton
177,Não,3ª Classe,"Lefebre, Master. Henry Forbes",Masculino,28,3,1,4133,25.4667,,Southampton
178,Não,1ª Classe,"Isham, Miss. Ann Elizabeth",Feminino,50,0,0,PC 17595,28.7125,C49,Cherbourg
179,Não,2ª Classe,"Hale, Mr. Reginald",Masculino,30,0,0,250653,13.0,,Southampton
180,Não,3ª Classe,"Leonard, Mr. Lionel",Masculino,36,0,0,LINE,0.0,,Southampton
181,Não,3ª Classe,"Sage, Miss. Constance Gladys",Feminino,28,8,2,CA. 2343,69.55,,Southampton
182,Não,2ª Classe,"Pernot, Mr. Rene",Masculino,28,0,0,SC/PARIS 2131,15.05,,Cherbourg
183,Não,3ª Classe,"Asplund, Master. Clarence Gustaf Hugo",Masculino,9,4,2,347077,31.3875,,Southampton
184,Sim,2ª Classe,"Becker, Master. Richard F",Masculino,1,2,1,230136,39.0,F4,Southampton
185,Sim,3ª Classe,"Kink-Heilmann, Miss. Luise Gretchen",Feminino,4,0,2,315153,22.025,,Southampton
186,Não,1ª Classe,"Rood, Mr. Hugh Roscoe",Masculino,28,0,0,113767,50.0,A32,Southampton
187,Sim,3ª Classe,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Feminino,28,1,0,370365,15.5,,Queenstown
188,Sim,1ª Classe,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Masculino,45,0,0,111428,26.55,,Southampton
189,Não,3ª Classe,"Bourke, Mr. John",Masculino,40,1,1,364849,15.5,,Queenstown
190,Não,3ª Classe,"Turcin, Mr. Stjepan",Masculino,36,0,0,349247,7.8958,,Southampton
191,Sim,2ª Classe,"Pinsky, Mrs. (Rosa)",Feminino,32,0,0,234604,13.0,,Southampton
192,Não,2ª Classe,"Carbines, Mr. William",Masculino,19,0,0,28424,13.0,,Southampton
193,Sim,3ª Classe,"Andersen-Jensen, Miss. Carla Christine Nielsine",Feminino,19,1,0,350046,7.8542,,Southampton
194,Sim,2ª Classe,"Navratil, Master. Michel M",Masculino,3,1,1,230080,26.0,F2,Southampton
195,Sim,1ª Classe,"Brown, Mrs. James Joseph (Margaret Tobin)",Feminino,44,0,0,PC 17610,27.7208,B4,Cherbourg
196,Sim,1ª Classe,"Lurette, Miss. Elise",Feminino,58,0,0,PC 17569,146.5208,B80,Cherbourg
197,Não,3ª Classe,"Mernagh, Mr. Robert",Masculino,28,0,0,368703,7.75,,Queenstown
198,Não,3ª Classe,"Olsen, Mr. Karl Siegwart Andreas",Masculino,42,0,1,4579,8.4042,,Southampton
199,Sim,3ª Classe,"Madigan, Miss. Margaret ""Maggie""",Feminino,28,0,0,370370,7.75,,Queenstown
200,Não,2ª Classe,"Yrois, Miss. Henriette (""Mrs Harbeck"")",Feminino,24,0,0,248747,13.0,,Southampton
201,Não,3ª Classe,"Vande Walle, Mr. Nestor Cyriel",Masculino,28,0,0,345770,9.5,,Southampton
202,Não,3ª Classe,"Sage, Mr. Frederick",Masculino,28,8,2,CA. 2343,69.55,,Southampton
203,Não,3ª Classe,"Johanson, Mr. Jakob Alfred",Masculino,34,0,0,3101264,6.4958,,Southampton
204,Não,3ª Classe,"Youseff, Mr. Gerious",Masculino,45,0,0,2628,7.225,,Cherbourg
205,Sim,3ª Classe,"Cohen, Mr. Gurshon ""Gus""",Masculino,18,0,0,A/5 3540,8.05,,Southampton
206,Não,3ª Classe,"Strom, Miss. Telma Matilda",Feminino,2,0,1,347054,10.4625,G6,Southampton
207,Não,3ª Classe,"Backstrom, Mr. Karl Alfred",Masculino,32,1,0,3101278,15.85,,Southampton
208,Sim,3ª Classe,"Albimona, Mr. Nassef Cassem",Masculino,26,0,0,2699,18.7875,,Cherbourg
209,Sim,3ª Classe,"Carr, Miss. Helen ""Ellen""",Feminino,16,0,0,367231,7.75,,Queenstown
210,Sim,1ª Classe,"Blank, Mr. Henry",Masculino,40,0,0,112277,31.0,A31,Cherbourg
211,Não,3ª Classe,"Ali, Mr. Ahmed",Masculino,24,0,0,SOTON/O.Q. 3101311,7.05,,Southampton
212,Sim,2ª Classe,"Cameron, Miss. Clear Annie",Feminino,35,0,0,F.C.C. 13528,21.0,,Southampton
213,Não,3ª Classe,"Perkin, Mr. John Henry",Masculino,22,0,0,A/5 21174,7.25,,Southampton
214,Não,2ª Classe,"Givard, Mr. Hans Kristensen",Masculino,30,0,0,250646,13.0,,Southampton
215,Não,3ª Classe,"Kiernan, Mr. Philip",Masculino,28,1,0,367229,7.75,,Queenstown
216,Sim,1ª Classe,"Newell, Miss. Madeleine",Feminino,31,1,0,35273,113.275,D36,Cherbourg
217,Sim,3ª Classe,"Honkanen, Miss. Eliina",Feminino,27,0,0,STON/O2. 3101283,7.925,,Southampton
218,Não,2ª Classe,"Jacobsohn, Mr. Sidney Samuel",Masculino,42,1,0,243847,27.0,,Southampton
219,Sim,1ª Classe,"Bazzani, Miss. Albina",Feminino,32,0,0,11813,76.2917,D15,Cherbourg
220,Não,2ª Classe,"Harris, Mr. Walter",Masculino,30,0,0,W/C 14208,10.5,,Southampton
221,Sim,3ª Classe,"Sunderland, Mr. Victor Francis",Masculino,16,0,0,SOTON/OQ 392089,8.05,,Southampton
222,Não,2ª Classe,"Bracken, Mr. James H",Masculino,27,0,0,220367,13.0,,Southampton
223,Não,3ª Classe,"Green, Mr. George Henry",Masculino,51,0,0,21440,8.05,,Southampton
224,Não,3ª Classe,"Nenkoff, Mr. Christo",Masculino,28,0,0,349234,7.8958,,Southampton
225,Sim,1ª Classe,"Hoyt, Mr. Frederick Maxfield",Masculino,38,1,0,19943,90.0,C93,Southampton
226,Não,3ª Classe,"Berglund, Mr. Karl Ivar Sven",Masculino,22,0,0,PP 4348,9.35,,Southampton
227,Sim,2ª Classe,"Mellors, Mr. William John",Masculino,19,0,0,SW/PP 751,10.5,,Southampton
228,Não,3ª Classe,"Lovell, Mr. John Hall (""Henry"")",Masculino,20,0,0,A/5 21173,7.25,,Southampton
229,Não,2ª Classe,"Fahlstrom, Mr. Arne Jonas",Masculino,18,0,0,236171,13.0,,Southampton
230,Não,3ª Classe,"Lefebre, Miss. Mathilde",Feminino,28,3,1,4133,25.4667,,Southampton
231,Sim,1ª Classe,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Feminino,35,1,0,36973,83.475,C83,Southampton
232,Não,3ª Classe,"Larsson, Mr. Bengt Edvin",Masculino,29,0,0,347067,7.775,,Southampton
233,Não,2ª Classe,"Sjostedt, Mr. Ernst Adolf",Masculino,59,0,0,237442,13.5,,Southampton
234,Sim,3ª Classe,"Asplund, Miss. Lillian Gertrud",Feminino,5,4,2,347077,31.3875,,Southampton
235,Não,2ª Classe,"Leyson, Mr. Robert William Norman",Masculino,24,0,0,C.A. 29566,10.5,,Southampton
236,Não,3ª Classe,"Harknett, Miss. Alice Phoebe",Feminino,28,0,0,W./C. 6609,7.55,,Southampton
237,Não,2ª Classe,"Hold, Mr. Stephen",Masculino,44,1,0,26707,26.0,,Southampton
